Name	Length	Identity	Relative length	Strand
420	10000	99.92006	99.92006	+
421	10000	99.98000	99.98000	+
422	10000	99.94004	99.94004	+
423	10000	99.94001	100.01000	+
424	10000	99.96001	99.98000	+
425	10000	99.92005	99.95002	+
426	10000	99.94003	99.96002	+
427	10000	99.98000	99.99000	+
428	10000	99.96002	99.96002	+
429	10000	99.92003	100.00000	+
43	10000	99.98000	99.98000	+
430	10000	99.82023	99.91008	+
431	10000	99.96000	100.00000	+
432	10000	99.92006	99.94004	+
433	10000	99.95001	100.01000	+
434	10000	99.94004	99.94004	+
435	10000	99.92003	99.98000	+
436	10000	99.93004	99.95002	+
437	10000	99.98000	99.98000	+
438	10000	99.96001	99.99000	+
439	10000	99.96001	99.97001	+
44	10000	99.92005	99.96002	+
440	10000	99.97001	99.98000	+
441	10000	99.94002	99.98000	+
442	10000	99.97001	99.99000	+
443	10000	99.96002	99.96002	+
444	10000	99.94003	99.96002	+
445	10000	99.83020	99.91008	+
446	10000	99.93005	99.93005	+
447	10000	99.88010	99.96002	+
448	10000	99.94002	100.00000	+
449	10000	99.90006	99.96002	+
45	10000	99.93003	99.97001	+
450	10000	99.92005	99.95002	+
451	10000	99.95002	99.95002	+
452	10000	99.93005	99.93005	+
453	10000	99.93003	99.96002	+
454	10000	99.90010	99.90010	+
455	10000	99.96001	99.98000	+
456	10000	99.98000	99.98000	+
457	10000	99.96002	99.96002	+
458	10000	99.96002	99.96002	+
459	10000	99.97001	99.97001	+
46	10000	99.87004	99.98000	+
460	10000	99.88008	99.96002	+
461	10000	99.91006	99.95002	+
462	10000	99.93003	99.98000	+
463	10000	99.96001	99.97001	+
464	10000	99.98000	100.01000	+
465	10000	99.96001	100.00000	+
466	10000	99.89009	99.94004	+
467	10000	99.92003	100.00000	+
468	10000	99.93003	99.97001	+
469	10000	99.95002	99.96002	+
47	10000	99.80008	99.98000	+
470	10000	99.94001	100.03001	+
471	10000	99.99000	99.99000	+
472	10000	99.90007	99.96002	+
473	10000	99.94004	99.94004	+
474	10000	99.97001	99.99000	+
475	10000	99.94002	99.98000	+
476	10000	99.96002	99.96002	+
477	10000	99.96000	100.02000	+
478	10000	99.94004	99.94004	+
479	10000	99.94002	99.98000	+
48	10000	99.97001	99.99000	+
480	10000	99.95001	99.99000	+
481	10000	99.95002	99.97001	+
482	10000	99.92004	99.97001	+
483	10000	99.92006	99.92006	+
484	10000	99.96002	99.96002	+
485	10000	99.93003	99.96002	+
486	10000	99.93003	99.99000	+
487	10000	99.92005	99.96002	+
488	10000	99.93003	99.99000	+
489	10000	99.95000	100.03001	+
49	10000	99.94002	99.99000	+
490	10000	99.91005	99.97001	+
491	10000	99.97001	99.97001	+
492	10000	99.92006	99.92006	+
493	10000	99.91007	99.93005	+
494	10000	99.96001	100.00000	+
495	10000	99.94004	99.94004	+
496	10000	99.92003	99.98000	+
497	10000	99.95001	99.97001	+
498	10000	99.94002	99.97001	+
499	10000	99.91007	99.93005	+
5	10000	99.91007	99.93005	+
50	10000	99.88004	100.01000	+
500	10000	99.93004	99.95002	+
501	10000	99.95002	99.97001	+
502	10000	99.94002	100.00000	+
503	10000	99.94004	99.94004	+
504	10000	99.87010	99.97001	+
505	10000	99.95002	99.95002	+
506	10000	99.96001	99.98000	+
507	10000	99.94001	100.01000	+
508	10000	99.97001	99.99000	+
509	10000	99.93004	99.94004	+
51	10000	99.96000	100.02000	+
510	10000	99.92005	99.96002	+
52	10000	99.96001	100.00000	+
53	10000	99.91007	99.93005	+
54	10000	99.96001	99.97001	+
55	10000	99.96001	99.98000	+
56	10000	99.95001	99.99000	+
57	10000	99.99000	99.99000	+
58	10000	99.95001	99.98000	+
59	10000	99.95001	99.99000	+
6	10000	99.98000	100.00000	+
60	10000	99.97001	99.99000	+
61	10000	99.97001	99.97001	+
62	10000	99.97000	100.01000	+
63	10000	99.97001	99.98000	+
64	10000	99.97001	99.97001	+
65	10000	99.95001	99.97001	+
66	10000	99.94002	99.97001	+
67	10000	99.97001	99.99000	+
68	10000	99.87006	99.99000	+
69	10000	99.88008	99.96002	+
7	10000	99.90006	99.98000	+
70	10000	99.96001	99.98000	+
71	10000	99.94002	99.96002	+
72	10000	99.98000	99.98000	+
73	10000	99.93003	99.95002	+
74	10000	99.92006	99.94004	+
75	10000	99.95002	99.96002	+
76	10000	99.90008	99.93005	+
77	10000	99.94002	99.98000	+
78	10000	99.95002	99.97001	+
79	10000	99.96002	99.96002	+
8	10000	99.97001	99.99000	+
80	10000	99.93005	99.93005	+
81	10000	99.97001	99.99000	+
82	10000	99.95998	99.96998	+
83	10000	99.92004	99.98000	+
84	10000	99.96996	100.02003	+
85	10000	99.90003	99.97001	+
86	10000	99.90009	99.91008	+
87	10000	99.96001	100.00000	+
88	10000	99.92004	99.95002	+
89	10000	99.92002	100.02000	+
9	10000	99.94001	100.01000	+
90	10000	99.95001	99.97001	+
91	10000	99.95002	99.97001	+
92	10000	99.94002	99.98000	+
93	10000	99.95002	99.96002	+
94	10000	99.93003	99.96002	+
95	10000	99.95002	99.96002	+
96	10000	99.95001	99.98000	+
97	10000	99.94003	99.96002	+
98	10000	99.91004	99.97001	+
99	10000	99.96001	99.98000	+
